canonical_name,inst_type,city,state,ror_id,openalex_id,tier
Indian Institute of Technology Kharagpur,IIT,Kharagpur,West Bengal,03w5sq511,I145894827,premier
Indian Institute of Technology Bombay,IIT,Mumbai,Maharashtra,02qyf5152,I162827531,premier
Indian Institute of Technology Madras,IIT,Chennai,Tamil Nadu,03v0r5n49,I24676775,premier
Indian Institute of Technology Kanpur,IIT,Kanpur,Uttar Pradesh,05pjsgx75,I94234084,premier
Indian Institute of Technology Delhi,IIT,New Delhi,Delhi,049tgcd06,I68891433,premier
Indian Institute of Technology Guwahati,IIT,Guwahati,Assam,0022nd079,I1317621060,premier
Indian Institute of Technology Roorkee,IIT,Roorkee,Uttarakhand,00582g326,I154851008,premier
Indian Institute of Technology Bhubaneswar,IIT,Bhubaneswar,Odisha,04gx72j20,I99729588,premier
Indian Institute of Technology Gandhinagar,IIT,Gandhinagar,Gujarat,0036p5w23,I27674431,premier
Indian Institute of Technology Hyderabad,IIT,Hyderabad,Telangana,01j4v3x97,I65181880,premier
Indian Institute of Technology Jodhpur,IIT,Jodhpur,Rajasthan,03yacj906,I154549908,premier
Indian Institute of Technology Patna,IIT,Patna,Bihar,01ft5vz71,I132153292,premier
Indian Institute of Technology Ropar,IIT,Rupnagar,Punjab,02qkhhn56,I119241673,premier
Indian Institute of Technology Indore,IIT,Indore,Madhya Pradesh,01hhf7w52,I64295750,premier
Indian Institute of Technology Mandi,IIT,Mandi,Himachal Pradesh,05r9r2f34,I9579091,premier
Indian Institute of Technology (BHU) Varanasi,IIT,Varanasi,Uttar Pradesh,01kh5gc44,I56404289,premier
Indian Institute of Technology Palakkad,IIT,Palakkad,Kerala,0264cg909,I4210113248,premier
Indian Institute of Technology Tirupati,IIT,Tirupati,Andhra Pradesh,01xtkxh20,I4210109292,premier
Indian Institute of Technology (ISM) Dhanbad,IIT,Dhanbad,Jharkhand,013v3cc28,I189109744,premier
Indian Institute of Technology Bhilai,IIT,Bhilai,Chhattisgarh,02sscsx71,I4210121466,premier
Indian Institute of Technology Goa,IIT,Goa,Goa,02v7trd43,I4210112052,premier
Indian Institute of Technology Jammu,IIT,Jammu,Jammu and Kashmir,02f0vsw63,I4210127441,premier
Indian Institute of Technology Dharwad,IIT,Dharwad,Karnataka,0509djg30,I4210152718,premier
Indian Institute of Science,IISc,Bengaluru,Karnataka,04dese585,I59270414,premier
