canonical_name,nirf_institute_id,notes
Academy of Scientific and Innovative Research,IR-R-U-0713,Research category
"Christian Medical College, Vellore",IR-D-C-45654,Medical
Christian Medical College,IR-D-C-29209,Medical Ludhiana
Koneru Lakshmaiah Education Foundation,IR-O-U-0020,Overall
"Kasturba Medical College, Manipal",IR-D-C-7242,Medical
Bharati Vidyapeeth Deemed University,IR-O-I-1361,University PDF uses IR-O-I prefix
Central University of Rajasthan,IR-P-U-0392,Pharmacy category only in NIRF 2024
"Indian Institute of Engineering Science and Technology, Shibpur",IR-E-U-0584,Engineering
University of Petroleum and Energy Studies,IR-O-U-0564,Overall UPES
Government Medical College,IR-D-C-48124,Medical Thiruvananthapuram
"Jawaharlal Nehru Technological University, Hyderabad",IR-E-U-0017,Engineering
All India Institute of Medical Sciences Raipur,IR-D-U-0690,Medical was wrongly Jodhpur id
